Timestamp,How long have you been using Haskell?,Sample Question 2,How would you characterize your use of Haskell today?,What is the status of Haskell in your workplace?,What is the status of Haskell in your workplace?,In which domain(s) are you using Haskell?,Which environment(s) do you use to work with Haskell?,"What language was your primary language just prior to adopting Haskell – or, if Haskell is not your primary language now, what is that primary language?","If Haskell disappeared tomorrow, what language(s) might you use as a ""replacement""?",How would you rate the following qualities of Haskell libraries? [Documentation],How would you rate the following qualities of Haskell libraries? [Test coverage],How would you rate the following qualities of Haskell libraries? [Performance],How would you rate the following qualities of Haskell libraries? [Integration with other libraries],How would you rate the following qualities of Haskell libraries? [Cross platform compatility],How would you rate the following qualities of Haskell libraries? [API stability],How would you rate the following qualities of Haskell libraries? [Ease of use],How would you rate the following qualities of Hackage? [Number of libraries],How would you rate the following qualities of Hackage? [Overall quality of libraries],How would you rate the following qualities of Hackage? [Ease of finding a library for a given task],Reasoning about the performance of Haskell programs is...,What would help you most when reasoning about the performance of your Haskell programs?,How would you rate the following qualities of Hackage? [Ease of judging the quality of a library],What do you think is Haskell's most glaring weakness / blind spot / problem?,How would you rate the following qualities of Hackage? [Likelihood that a library will build on your machine]
7/17/2011 13:20:57,2 years,,I use it at work.,,It's endorsed and used in production applications,"Network programming, Open source projects, System administration, Web development",Emacs / haskell-mode,"Common Lisp, Scheme","Common Lisp, Scheme",4,4,3,2,4,4,4,5,3,4,3,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",3,,4
7/17/2011 13:23:16,2 years,,I'm just tinkering.,,I don't use Haskell at work,"Gaming, Graphics / art, Open source projects, Compilers / interpreters",Emacs / haskell-mode,"Java, Javascript","O'Caml, Scala",3,3,5,3,4,3,3,3,3,3,2,,2,Misinformation from other developers,2
7/17/2011 13:24:01,2 years,,"I'm just tinkering., I use it for my studies.",,,Math / data analysis,vi,Java,O'Caml,4,4,3,4,4,3,4,4,3,5,3,"Better run-time analysis tools (e.g. profilers), Better teaching material (e.g. books, tutorials, blog posts, recorded talks)",4,Arrays: the ones in standard libraries don't have rich interface. Vectors are not included in GHC's standard libraries.,3
7/17/2011 13:25:09,1 year,,"I use it for serious ""hobby"" projects., I use it for my studies.",,"I'm lobbying to have it be ""endorsed""",Compilers / interpreters,vi,"C, C++, Erlang",O'Caml,2,2,1,2,3,3,1,4,3,3,4,"Better run-time analysis tools (e.g. profilers), Better library documentation (e.g. documented strictness properties)",4,"The lack of good library documentation. By good documentation I mean neat description of functionality with illustrative examples. For example, Qt documentation is good.",3
7/17/2011 13:25:48,1 year,,"I use it for serious ""hobby"" projects., I use it for my studies.",,I don't use Haskell at work,"Open source projects, Web development, Compilers / interpreters",vi,PHP,"Erlang, F#, O'Caml, Scala",3,2,3,4,4,4,4,4,4,3,3,"Better static analysis tools (e.g. linters), Better library documentation (e.g. documented strictness properties)",2,"There aren't enough cookbook solutions available, it's mostly individual bits that you can put together. Let me make this concrete by giving an example.

If I want to start working on a PHP project, I grab Zend Framework or Symfony and use the generator to kickstart a project, and choose the components I need from a rich set of (well integrated) libraries/components. Everything I need is provided by the framework, including the documentation which describes in detail how to lay out my application and how to use each individual component (possibly in combination with other components).

With Haskell I find myself scanning for libraries on Hackage and hoping that the library I picked works sufficiently well. (granted, in most cases it does, unlike PHP libraries). The quality of the documentation on how to use the individual libraries varies greatly. Documentation on how to integrate individual libraries with frameworks is generally non-existent.

Strong documentation that is easily accessible (or the lack thereof) is probably the most glaring weakness for Haskell.",4
7/17/2011 13:26:12,5+ years,,"I use it for serious ""hobby"" projects., I use it at work.",,It's endorsed and used in production applications,"Commercial products, Open source projects, Web development, Finance, Compilers / interpreters",Command line REPL,C#,F#,3,2,3,3,3,2,3,4,3,3,4,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters)",2,"Lack of GUI tools - both ways to write GUI's (wxHaskell and GTK are not as good as WPF/Winforms, and don't install nicely), plus no good GUI's for things like profiling (which I suspect is a reflection of the lack of ease of writing GUI's)",2
7/17/2011 13:27:17,2 years,,I'm just tinkering.,,I don't use Haskell at work,Math / data analysis,vi,"Go, Javascript, Perl, Ruby, perl6",perl6,1,4,4,3,3,3,3,3,3,3,5,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",3,,3
7/17/2011 13:28:10,3 years,,"I use it for serious ""hobby"" projects., I use it for my studies., I use it at work.",,It's endorsed and used in non-production activities,"Math / data analysis, Network programming, System administration, Compilers / interpreters","Emacs / haskell-mode, Leksah","C, C++, Erlang, Java","Clojure, Erlang, O'Caml, Scala",4,2,3,4,4,5,5,3,4,3,2,"Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks)",5,,4
7/17/2011 13:28:38,Months,,"I use it for serious ""hobby"" projects.",,I don't use Haskell at work,"Math / data analysis, Open source projects, Compilers / interpreters",vi,"C++, Python","Scala, Scheme",4,3,3,3,4,4,4,4,4,4,2,"Better teaching material (e.g. books, tutorials, blog posts, recorded talks)",1,,2
7/17/2011 13:29:06,Weeks,,"I use it for my studies., I use it at work.",,It's endorsed and used in production applications,Compilers / interpreters,"Emacs / haskell-mode, Command line REPL",O'Caml,O'Caml,3,3,3,3,3,3,3,5,4,3,4,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",3,,4
7/17/2011 13:30:49,2 years,,"I'm just tinkering., I use it for serious ""hobby"" projects., I use it for my studies.",,I don't use Haskell at work,"Math / data analysis, Open source projects, Web development",Emacs / haskell-mode,"C, Java, Python","Common Lisp, Python",1,2,2,1,1,1,1,1,1,2,3,"Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks)",2,,3
7/17/2011 13:31:06,4 years,,"I use it for serious ""hobby"" projects., I use it at work.",,"I'm lobbying to have it be ""endorsed""",System administration,"Notepad++, Gedit",Java,"F#, O'Caml",2,1,3,2,4,3,3,4,3,3,4,"Better run-time analysis tools (e.g. profilers), Better teaching material (e.g. books, tutorials, blog posts, recorded talks)",2,Absense of the social Hackage promised long time ago,4
7/17/2011 13:31:09,5+ years,,I use it at work.,,It's endorsed and used in production applications,,"Emacs / haskell-mode, vi",Erlang,"Erlang, F#, O'Caml",3,3,4,4,,3,4,5,4,3,4,Better run-time analysis tools (e.g. profilers),2,,3
7/17/2011 13:31:41,Months,,"I'm just tinkering., I use it for serious ""hobby"" projects.",,It's endorsed and used in non-production activities,"Gaming, Graphics / art, Network programming, Open source projects, System administration, Compilers / interpreters","vi, Command line REPL","C, O'Caml, Ruby","C, O'Caml, Ruby",5,3,4,4,4,5,4,4,5,4,1,"Better teaching material (e.g. books, tutorials, blog posts, recorded talks)",4,Success!,5
7/17/2011 13:32:10,4 years,,"I'm just tinkering., I use it at work.",,It's used secretly,System administration,"Command line REPL, Kate",C,"Common Lisp, O'Caml, Prolog, Python, Scala",3,4,4,4,5,4,4,5,5,4,3,"Better static analysis tools (e.g. linters), Better library documentation (e.g. documented strictness properties)",3,needs to have a blessed ui library in the platform !,4
7/17/2011 13:32:27,3 years,,"I use it for serious ""hobby"" projects., I use it for my studies.",,,"Gaming, Math / data analysis, Network programming, Open source projects, Thick clients: GTK etc, Web development",,"Haskell is the first language I learnt, and it's my primary language.",,3,3,4,3,3,4,5,5,4,3,2,Better library documentation (e.g. documented strictness properties),4,,2
